,T1_Spelling,T1_ID,T1_Seed,T2_Spelling,T2_ID,T2_Seed
0,south carolina,3376,1,usc,3425,1
1,south carolina,3376,1,texas,3400,1
2,south carolina,3376,1,iowa,3234,1
3,south carolina,3376,1,ohio state,3326,2
4,south carolina,3376,1,notre dame,3323,2
5,south carolina,3376,1,ucla,3417,2
6,south carolina,3376,1,stanford,3390,2
7,south carolina,3376,1,lsu,3261,3
8,south carolina,3376,1,uconn,3163,3
9,south carolina,3376,1,nc state,3301,3
10,south carolina,3376,1,oregon state,3333,3
11,south carolina,3376,1,virginia tech,3439,4
12,south carolina,3376,1,kansas state,3243,4
13,south carolina,3376,1,indiana,3231,4
14,south carolina,3376,1,gonzaga,3211,4
15,south carolina,3376,1,baylor,3124,5
16,south carolina,3376,1,colorado,3160,5
17,south carolina,3376,1,utah,3428,5
18,south carolina,3376,1,oklahoma,3328,5
19,south carolina,3376,1,tennessee,3397,6
20,south carolina,3376,1,nebraska,3304,6
21,south carolina,3376,1,syracuse,3393,6
22,south carolina,3376,1,louisville,3257,6
23,south carolina,3376,1,duke,3181,7
24,south carolina,3376,1,ole miss,3279,7
25,south carolina,3376,1,creighton,3166,7
26,south carolina,3376,1,iowa state,3235,7
27,south carolina,3376,1,kansas,3242,8
28,south carolina,3376,1,alabama,3104,8
29,south carolina,3376,1,north carolina,3314,8
30,south carolina,3376,1,west virginia,3452,8
31,south carolina,3376,1,michigan,3276,9
32,south carolina,3376,1,florida state,3199,9
33,south carolina,3376,1,michigan state,3277,9
34,south carolina,3376,1,princeton,3343,9
35,south carolina,3376,1,richmond,3350,10
36,south carolina,3376,1,marquette,3266,10
37,south carolina,3376,1,unlv,3424,10
38,south carolina,3376,1,maryland,3268,10
39,south carolina,3376,1,middle tennessee,3292,11
40,south carolina,3376,1,texas a&m,3401,11
41,south carolina,3376,1,green bay,3453,11
42,south carolina,3376,1,auburn,3120,11
43,south carolina,3376,1,arizona,3112,11
44,south carolina,3376,1,florida gulf coast,3195,12
45,south carolina,3376,1,south dakota state,3355,12
46,south carolina,3376,1,columbia,3162,12
47,south carolina,3376,1,vanderbilt,3435,12
48,south carolina,3376,1,drake,3179,12
49,south carolina,3376,1,portland,3339,13
50,south carolina,3376,1,fairfield,3193,13
51,south carolina,3376,1,marshall,3267,13
52,south carolina,3376,1,uc irvine,3414,13
53,south carolina,3376,1,chattanooga,3151,14
54,south carolina,3376,1,jackson state,3238,14
55,south carolina,3376,1,rice,3349,14
56,south carolina,3376,1,eastern washington,3186,14
57,south carolina,3376,1,maine,3263,15
58,south carolina,3376,1,california baptist,3465,15
59,south carolina,3376,1,kent state,3245,15
60,south carolina,3376,1,norfolk state,3313,15
61,south carolina,3376,1,sacred heart,3357,16
62,south carolina,3376,1,holy cross,3221,16
63,south carolina,3376,1,presbyterian,3342,16
64,south carolina,3376,1,drexel,3180,16
65,south carolina,3376,1,ut martin,3404,16
66,south carolina,3376,1,a&m-corpus christi,3394,16
67,usc,3425,1,texas,3400,1
68,usc,3425,1,iowa,3234,1
69,usc,3425,1,ohio state,3326,2
70,usc,3425,1,notre dame,3323,2
71,usc,3425,1,ucla,3417,2
72,usc,3425,1,stanford,3390,2
73,usc,3425,1,lsu,3261,3
74,usc,3425,1,uconn,3163,3
75,usc,3425,1,nc state,3301,3
76,usc,3425,1,oregon state,3333,3
77,usc,3425,1,virginia tech,3439,4
78,usc,3425,1,kansas state,3243,4
79,usc,3425,1,indiana,3231,4
80,usc,3425,1,gonzaga,3211,4
81,usc,3425,1,baylor,3124,5
82,usc,3425,1,colorado,3160,5
83,usc,3425,1,utah,3428,5
84,usc,3425,1,oklahoma,3328,5
85,usc,3425,1,tennessee,3397,6
86,usc,3425,1,nebraska,3304,6
87,usc,3425,1,syracuse,3393,6
88,usc,3425,1,louisville,3257,6
89,usc,3425,1,duke,3181,7
90,usc,3425,1,ole miss,3279,7
91,usc,3425,1,creighton,3166,7
92,usc,3425,1,iowa state,3235,7
93,usc,3425,1,kansas,3242,8
94,usc,3425,1,alabama,3104,8
95,usc,3425,1,north carolina,3314,8
96,usc,3425,1,west virginia,3452,8
97,usc,3425,1,michigan,3276,9
98,usc,3425,1,florida state,3199,9
99,usc,3425,1,michigan state,3277,9
100,usc,3425,1,princeton,3343,9
101,usc,3425,1,richmond,3350,10
102,usc,3425,1,marquette,3266,10
103,usc,3425,1,unlv,3424,10
104,usc,3425,1,maryland,3268,10
105,usc,3425,1,middle tennessee,3292,11
106,usc,3425,1,texas a&m,3401,11
107,usc,3425,1,green bay,3453,11
108,usc,3425,1,auburn,3120,11
109,usc,3425,1,arizona,3112,11
110,usc,3425,1,florida gulf coast,3195,12
111,usc,3425,1,south dakota state,3355,12
112,usc,3425,1,columbia,3162,12
113,usc,3425,1,vanderbilt,3435,12
114,usc,3425,1,drake,3179,12
115,usc,3425,1,portland,3339,13
116,usc,3425,1,fairfield,3193,13
117,usc,3425,1,marshall,3267,13
118,usc,3425,1,uc irvine,3414,13
119,usc,3425,1,chattanooga,3151,14
120,usc,3425,1,jackson state,3238,14
121,usc,3425,1,rice,3349,14
122,usc,3425,1,eastern washington,3186,14
123,usc,3425,1,maine,3263,15
124,usc,3425,1,california baptist,3465,15
125,usc,3425,1,kent state,3245,15
126,usc,3425,1,norfolk state,3313,15
127,usc,3425,1,sacred heart,3357,16
128,usc,3425,1,holy cross,3221,16
129,usc,3425,1,presbyterian,3342,16
130,usc,3425,1,drexel,3180,16
131,usc,3425,1,ut martin,3404,16
132,usc,3425,1,a&m-corpus christi,3394,16
133,texas,3400,1,iowa,3234,1
134,texas,3400,1,ohio state,3326,2
135,texas,3400,1,notre dame,3323,2
