HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Alabama,1104,4,Akron,1103,12,
Arizona,1112,1,Akron,1103,12,
Arkansas,1116,4,Akron,1103,12,
BYU,1140,6,Akron,1103,12,
Akron,1103,12,Cal Baptist,1465,13,
Clemson,1155,8,Akron,1103,12,
Connecticut,1163,2,Akron,1103,12,
Duke,1181,1,Akron,1103,12,
Florida,1196,1,Akron,1103,12,
Akron,1103,12,Furman,1202,15,
Georgia,1208,8,Akron,1103,12,
Gonzaga,1211,3,Akron,1103,12,
Akron,1103,12,Hawaii,1218,13,
Akron,1103,12,High Point,1219,12,
Akron,1103,12,Hofstra,1220,13,
Houston,1222,2,Akron,1103,12,
Akron,1103,12,Howard,1224,16,
Akron,1103,12,Idaho,1225,15,
Illinois,1228,3,Akron,1103,12,
Iowa,1234,9,Akron,1103,12,
Iowa St,1235,2,Akron,1103,12,
Kansas,1242,4,Akron,1103,12,
Akron,1103,12,Kennesaw,1244,14,
Kentucky,1246,7,Akron,1103,12,
Akron,1103,12,Lehigh,1250,16,
Akron,1103,12,LIU Brooklyn,1254,16,
Louisville,1257,6,Akron,1103,12,
McNeese St,1270,12,Akron,1103,12,
Miami FL,1274,7,Akron,1103,12,
Miami OH,1275,11,Akron,1103,12,
Michigan,1276,1,Akron,1103,12,
Michigan St,1277,3,Akron,1103,12,
Missouri,1281,10,Akron,1103,12,
Akron,1103,12,N Dakota St,1295,14,
NC State,1301,11,Akron,1103,12,
Nebraska,1304,4,Akron,1103,12,
North Carolina,1314,6,Akron,1103,12,
Akron,1103,12,Northern Iowa,1320,12,
Ohio St,1326,8,Akron,1103,12,
Akron,1103,12,Penn,1335,14,
Akron,1103,12,Prairie View,1341,16,
Purdue,1345,2,Akron,1103,12,
Akron,1103,12,Queens NC,1474,15,
Santa Clara,1365,10,Akron,1103,12,
Akron,1103,12,Siena,1373,16,
SMU,1374,11,Akron,1103,12,
South Florida,1378,11,Akron,1103,12,
St John's,1385,5,Akron,1103,12,
St Louis,1387,9,Akron,1103,12,
St Mary's CA,1388,7,Akron,1103,12,
TCU,1395,9,Akron,1103,12,
Tennessee,1397,6,Akron,1103,12,
Akron,1103,12,Tennessee St,1398,15,
Texas,1400,11,Akron,1103,12,
Texas A&M,1401,10,Akron,1103,12,
Texas Tech,1403,5,Akron,1103,12,
Akron,1103,12,Troy,1407,13,
UCF,1416,10,Akron,1103,12,
UCLA,1417,7,Akron,1103,12,
Akron,1103,12,UMBC,1420,16,
Utah St,1429,9,Akron,1103,12,
Vanderbilt,1435,5,Akron,1103,12,
VCU,1433,11,Akron,1103,12,
Villanova,1437,8,Akron,1103,12,
Virginia,1438,3,Akron,1103,12,
Wisconsin,1458,5,Akron,1103,12,
Akron,1103,12,Wright St,1460,14,
Arizona,1112,1,Alabama,1104,4,
Alabama,1104,4,Arkansas,1116,4,
Alabama,1104,4,BYU,1140,6,
Alabama,1104,4,Cal Baptist,1465,13,
Alabama,1104,4,Clemson,1155,8,
Connecticut,1163,2,Alabama,1104,4,
Duke,1181,1,Alabama,1104,4,
Florida,1196,1,Alabama,1104,4,
Alabama,1104,4,Furman,1202,15,
Alabama,1104,4,Georgia,1208,8,
Gonzaga,1211,3,Alabama,1104,4,
Alabama,1104,4,Hawaii,1218,13,
Alabama,1104,4,High Point,1219,12,
Alabama,1104,4,Hofstra,1220,13,
Houston,1222,2,Alabama,1104,4,
Alabama,1104,4,Howard,1224,16,
Alabama,1104,4,Idaho,1225,15,
Illinois,1228,3,Alabama,1104,4,
Alabama,1104,4,Iowa,1234,9,
Iowa St,1235,2,Alabama,1104,4,
Alabama,1104,4,Kansas,1242,4,
Alabama,1104,4,Kennesaw,1244,14,
Alabama,1104,4,Kentucky,1246,7,
Alabama,1104,4,Lehigh,1250,16,
Alabama,1104,4,LIU Brooklyn,1254,16,
Alabama,1104,4,Louisville,1257,6,
Alabama,1104,4,McNeese St,1270,12,
Alabama,1104,4,Miami FL,1274,7,
Alabama,1104,4,Miami OH,1275,11,
Michigan,1276,1,Alabama,1104,4,
Michigan St,1277,3,Alabama,1104,4,
Alabama,1104,4,Missouri,1281,10,
Alabama,1104,4,N Dakota St,1295,14,
Alabama,1104,4,NC State,1301,11,
Nebraska,1304,4,Alabama,1104,4,
Alabama,1104,4,North Carolina,1314,6,
Alabama,1104,4,Northern Iowa,1320,12,
Alabama,1104,4,Ohio St,1326,8,
Alabama,1104,4,Penn,1335,14,
Alabama,1104,4,Prairie View,1341,16,
Purdue,1345,2,Alabama,1104,4,
Alabama,1104,4,Queens NC,1474,15,
Alabama,1104,4,Santa Clara,1365,10,
Alabama,1104,4,Siena,1373,16,
Alabama,1104,4,SMU,1374,11,
Alabama,1104,4,South Florida,1378,11,
Alabama,1104,4,St John's,1385,5,
Alabama,1104,4,St Louis,1387,9,
Alabama,1104,4,St Mary's CA,1388,7,
Alabama,1104,4,TCU,1395,9,
Alabama,1104,4,Tennessee,1397,6,
Alabama,1104,4,Tennessee St,1398,15,
Alabama,1104,4,Texas,1400,11,
Alabama,1104,4,Texas A&M,1401,10,
Alabama,1104,4,Texas Tech,1403,5,
Alabama,1104,4,Troy,1407,13,
Alabama,1104,4,UCF,1416,10,
Alabama,1104,4,UCLA,1417,7,
Alabama,1104,4,UMBC,1420,16,
Alabama,1104,4,Utah St,1429,9,
Alabama,1104,4,Vanderbilt,1435,5,
Alabama,1104,4,VCU,1433,11,
Alabama,1104,4,Villanova,1437,8,
Virginia,1438,3,Alabama,1104,4,
Alabama,1104,4,Wisconsin,1458,5,
Alabama,1104,4,Wright St,1460,14,
Arizona,1112,1,Arkansas,1116,4,
Arizona,1112,1,BYU,1140,6,
Arizona,1112,1,Cal Baptist,1465,13,
Arizona,1112,1,Clemson,1155,8,
Arizona,1112,1,Connecticut,1163,2,
Duke,1181,1,Arizona,1112,1,
Arizona,1112,1,Florida,1196,1,
Arizona,1112,1,Furman,1202,15,
Arizona,1112,1,Georgia,1208,8,
Arizona,1112,1,Gonzaga,1211,3,
Arizona,1112,1,Hawaii,1218,13,
Arizona,1112,1,High Point,1219,12,
Arizona,1112,1,Hofstra,1220,13,
Arizona,1112,1,Houston,1222,2,
Arizona,1112,1,Howard,1224,16,
Arizona,1112,1,Idaho,1225,15,
Arizona,1112,1,Illinois,1228,3,
Arizona,1112,1,Iowa,1234,9,
Arizona,1112,1,Iowa St,1235,2,
Arizona,1112,1,Kansas,1242,4,
Arizona,1112,1,Kennesaw,1244,14,
Arizona,1112,1,Kentucky,1246,7,
Arizona,1112,1,Lehigh,1250,16,
Arizona,1112,1,LIU Brooklyn,1254,16,
Arizona,1112,1,Louisville,1257,6,
Arizona,1112,1,McNeese St,1270,12,
Arizona,1112,1,Miami FL,1274,7,
Arizona,1112,1,Miami OH,1275,11,
Arizona,1112,1,Michigan,1276,1,
Arizona,1112,1,Michigan St,1277,3,
Arizona,1112,1,Missouri,1281,10,
Arizona,1112,1,N Dakota St,1295,14,
Arizona,1112,1,NC State,1301,11,
Arizona,1112,1,Nebraska,1304,4,
Arizona,1112,1,North Carolina,1314,6,
Arizona,1112,1,Northern Iowa,1320,12,
Arizona,1112,1,Ohio St,1326,8,
Arizona,1112,1,Penn,1335,14,
Arizona,1112,1,Prairie View,1341,16,
Arizona,1112,1,Purdue,1345,2,
Arizona,1112,1,Queens NC,1474,15,
Arizona,1112,1,Santa Clara,1365,10,
Arizona,1112,1,Siena,1373,16,
Arizona,1112,1,SMU,1374,11,
Arizona,1112,1,South Florida,1378,11,
Arizona,1112,1,St John's,1385,5,
Arizona,1112,1,St Louis,1387,9,
Arizona,1112,1,St Mary's CA,1388,7,
Arizona,1112,1,TCU,1395,9,
Arizona,1112,1,Tennessee,1397,6,
Arizona,1112,1,Tennessee St,1398,15,
Arizona,1112,1,Texas,1400,11,
Arizona,1112,1,Texas A&M,1401,10,
Arizona,1112,1,Texas Tech,1403,5,
Arizona,1112,1,Troy,1407,13,
Arizona,1112,1,UCF,1416,10,
Arizona,1112,1,UCLA,1417,7,
Arizona,1112,1,UMBC,1420,16,
Arizona,1112,1,Utah St,1429,9,
Arizona,1112,1,Vanderbilt,1435,5,
Arizona,1112,1,VCU,1433,11,
Arizona,1112,1,Villanova,1437,8,
Arizona,1112,1,Virginia,1438,3,
Arizona,1112,1,Wisconsin,1458,5,
Arizona,1112,1,Wright St,1460,14,
Arkansas,1116,4,BYU,1140,6,
Arkansas,1116,4,Cal Baptist,1465,13,
Arkansas,1116,4,Clemson,1155,8,
Connecticut,1163,2,Arkansas,1116,4,
Duke,1181,1,Arkansas,1116,4,
Florida,1196,1,Arkansas,1116,4,
Arkansas,1116,4,Furman,1202,15,
Arkansas,1116,4,Georgia,1208,8,
Gonzaga,1211,3,Arkansas,1116,4,
Arkansas,1116,4,Hawaii,1218,13,
Arkansas,1116,4,High Point,1219,12,
Arkansas,1116,4,Hofstra,1220,13,
Houston,1222,2,Arkansas,1116,4,
Arkansas,1116,4,Howard,1224,16,
Arkansas,1116,4,Idaho,1225,15,
Illinois,1228,3,Arkansas,1116,4,
Arkansas,1116,4,Iowa,1234,9,
Iowa St,1235,2,Arkansas,1116,4,
Kansas,1242,4,Arkansas,1116,4,
Arkansas,1116,4,Kennesaw,1244,14,
Arkansas,1116,4,Kentucky,1246,7,
Arkansas,1116,4,Lehigh,1250,16,
Arkansas,1116,4,LIU Brooklyn,1254,16,
Arkansas,1116,4,Louisville,1257,6,
Arkansas,1116,4,McNeese St,1270,12,
Arkansas,1116,4,Miami FL,1274,7,
Arkansas,1116,4,Miami OH,1275,11,
Michigan,1276,1,Arkansas,1116,4,
Michigan St,1277,3,Arkansas,1116,4,
Arkansas,1116,4,Missouri,1281,10,
Arkansas,1116,4,N Dakota St,1295,14,
Arkansas,1116,4,NC State,1301,11,
Nebraska,1304,4,Arkansas,1116,4,
Arkansas,1116,4,North Carolina,1314,6,
Arkansas,1116,4,Northern Iowa,1320,12,
Arkansas,1116,4,Ohio St,1326,8,
Arkansas,1116,4,Penn,1335,14,
Arkansas,1116,4,Prairie View,1341,16,
Purdue,1345,2,Arkansas,1116,4,
Arkansas,1116,4,Queens NC,1474,15,
Arkansas,1116,4,Santa Clara,1365,10,
Arkansas,1116,4,Siena,1373,16,
Arkansas,1116,4,SMU,1374,11,
Arkansas,1116,4,South Florida,1378,11,
Arkansas,1116,4,St John's,1385,5,
Arkansas,1116,4,St Louis,1387,9,
Arkansas,1116,4,St Mary's CA,1388,7,
Arkansas,1116,4,TCU,1395,9,
Arkansas,1116,4,Tennessee,1397,6,
Arkansas,1116,4,Tennessee St,1398,15,
Arkansas,1116,4,Texas,1400,11,
Arkansas,1116,4,Texas A&M,1401,10,
Arkansas,1116,4,Texas Tech,1403,5,
Arkansas,1116,4,Troy,1407,13,
Arkansas,1116,4,UCF,1416,10,
Arkansas,1116,4,UCLA,1417,7,
Arkansas,1116,4,UMBC,1420,16,
Arkansas,1116,4,Utah St,1429,9,
Arkansas,1116,4,Vanderbilt,1435,5,
Arkansas,1116,4,VCU,1433,11,
Arkansas,1116,4,Villanova,1437,8,
Virginia,1438,3,Arkansas,1116,4,
Arkansas,1116,4,Wisconsin,1458,5,
Arkansas,1116,4,Wright St,1460,14,
BYU,1140,6,Cal Baptist,1465,13,
BYU,1140,6,Clemson,1155,8,
Connecticut,1163,2,BYU,1140,6,
Duke,1181,1,BYU,1140,6,
Florida,1196,1,BYU,1140,6,
BYU,1140,6,Furman,1202,15,
BYU,1140,6,Georgia,1208,8,
Gonzaga,1211,3,BYU,1140,6,
BYU,1140,6,Hawaii,1218,13,
BYU,1140,6,High Point,1219,12,
BYU,1140,6,Hofstra,1220,13,
Houston,1222,2,BYU,1140,6,
BYU,1140,6,Howard,1224,16,
BYU,1140,6,Idaho,1225,15,
Illinois,1228,3,BYU,1140,6,
BYU,1140,6,Iowa,1234,9,
Iowa St,1235,2,BYU,1140,6,
Kansas,1242,4,BYU,1140,6,
BYU,1140,6,Kennesaw,1244,14,
BYU,1140,6,Kentucky,1246,7,
BYU,1140,6,Lehigh,1250,16,
BYU,1140,6,LIU Brooklyn,1254,16,
Louisville,1257,6,BYU,1140,6,
BYU,1140,6,McNeese St,1270,12,
BYU,1140,6,Miami FL,1274,7,
BYU,1140,6,Miami OH,1275,11,
Michigan,1276,1,BYU,1140,6,
Michigan St,1277,3,BYU,1140,6,
BYU,1140,6,Missouri,1281,10,
BYU,1140,6,N Dakota St,1295,14,
BYU,1140,6,NC State,1301,11,
Nebraska,1304,4,BYU,1140,6,
North Carolina,1314,6,BYU,1140,6,
BYU,1140,6,Northern Iowa,1320,12,
BYU,1140,6,Ohio St,1326,8,
BYU,1140,6,Penn,1335,14,
BYU,1140,6,Prairie View,1341,16,
Purdue,1345,2,BYU,1140,6,
BYU,1140,6,Queens NC,1474,15,
BYU,1140,6,Santa Clara,1365,10,
BYU,1140,6,Siena,1373,16,
BYU,1140,6,SMU,1374,11,
BYU,1140,6,South Florida,1378,11,
St John's,1385,5,BYU,1140,6,
BYU,1140,6,St Louis,1387,9,
BYU,1140,6,St Mary's CA,1388,7,
BYU,1140,6,TCU,1395,9,
